"age" "female" "hisp" "education" "earnings" "hours" "week" "union" "uncov" "region" "race" "marital"
"134" 51 0 0 20 389599 60 52 0 0 4 1 1
"135" 54 0 0 13 40000 40 52 0 0 2 1 1
"136" 55 0 0 12 29002 45 52 0 0 2 1 7
"137" 21 0 0 13 25000 40 52 0 0 2 1 7
"138" 50 0 0 18 75000 40 52 0 0 4 1 1
"139" 25 0 0 12 33000 36 52 0 0 2 1 7
"140" 44 0 0 16 126000 44 52 0 0 4 1 1
"141" 30 0 0 16 39000 55 52 0 0 3 1 1
"142" 54 0 0 14 56217 40 52 0 0 4 1 1
"143" 42 0 0 18 60000 45 52 0 0 4 1 1
"144" 47 0 0 14 105000 45 52 0 0 1 1 1
"145" 48 0 0 14 75000 40 52 0 0 1 1 1
"146" 27 0 1 12 80000 40 52 0 0 4 1 7
"147" 47 0 1 13 25000 50 52 0 0 4 1 1
"148" 43 0 0 18 44000 40 52 0 0 3 1 7
"149" 40 0 1 12 30000 40 52 0 0 3 1 1
"150" 67 0 0 13 1e+05 50 52 0 0 3 1 1
"151" 41 0 0 16 93000 50 52 0 0 3 1 6
"152" 32 0 0 20 125000 50 52 0 0 4 1 1
"153" 46 0 0 13 49000 40 52 0 0 1 1 5
"154" 38 0 0 18 80000 40 52 0 0 1 1 7
"155" 46 0 0 16 98000 45 52 0 0 1 1 7
"156" 41 0 0 12 26000 40 52 0 0 2 1 3
"157" 28 0 1 13 52000 55 52 0 0 4 1 1
"158" 45 0 0 13 40000 40 52 0 0 2 1 6
"159" 40 0 0 12 35000 40 52 0 0 1 1 7
"160" 42 0 0 12 38000 40 52 0 0 1 1 1
"161" 54 0 0 13 50000 40 52 0 0 2 1 3
"162" 29 0 0 18 36000 48 52 0 0 1 1 1
"163" 47 0 0 14 83592 40 52 0 0 4 1 1
"164" 22 0 1 12 33800 50 52 0 0 3 1 7
"165" 29 0 0 13 70000 60 52 0 0 3 1 1
"166" 46 0 0 13 70000 50 52 0 0 4 1 1
"167" 46 0 0 12 43000 40 52 1 0 3 1 1
"168" 19 0 0 12 20000 40 52 0 0 3 1 7
"169" 29 0 0 12 37000 48 52 0 0 2 1 7
"170" 44 0 0 11 52000 40 52 0 0 3 1 5
"171" 61 0 0 16 70000 40 52 0 0 1 1 1
"172" 46 0 0 16 38000 40 52 0 0 1 1 1
"173" 25 0 0 13 14026 40 52 0 0 3 1 7
"174" 51 0 1 4 19000 40 52 0 0 3 1 1
"175" 43 0 1 12 84000 40 52 0 0 4 1 7
"176" 38 0 0 12 55000 55 52 0 0 2 1 1
"177" 59 0 1 11 80000 40 52 0 0 1 1 1
"178" 25 0 0 16 32000 55 52 0 0 2 1 7
"179" 30 0 0 16 95000 40 52 0 0 4 1 1
"180" 32 0 1 6 33800 50 52 0 0 3 1 3
"181" 42 0 0 8 13905 40 52 0 0 3 1 7
"182" 37 0 0 12 33800 40 52 0 0 3 1 1
"183" 53 0 0 11 50000 40 52 0 0 1 1 1
"184" 38 0 0 18 55000 40 52 0 0 4 1 1
"185" 31 0 0 16 27000 40 52 0 0 4 1 7
"186" 37 0 0 18 120000 50 52 0 0 1 1 1
"187" 45 0 0 16 98000 40 52 0 0 4 1 1
"188" 40 0 0 12 35000 40 50 0 0 1 1 7
"189" 32 0 0 13 50000 40 52 0 0 2 1 1
"190" 50 0 0 12 50000 40 52 0 0 3 1 1
"191" 34 0 0 13 6400 60 52 0 0 2 1 1
"192" 36 0 0 16 70000 40 52 0 0 4 1 1
"193" 27 0 0 12 30000 40 52 0 0 3 1 7
"194" 76 0 0 8 31000 40 52 0 0 3 1 1
"195" 40 0 0 18 110000 45 52 0 0 3 1 1
"196" 54 0 0 18 73000 40 52 0 0 1 1 1
"197" 38 0 0 13 36000 40 49 0 0 4 1 7
"198" 47 0 0 10 30000 40 52 0 0 3 1 1
"199" 46 0 0 16 389599 60 52 0 0 1 1 1
"200" 39 0 0 16 63000 40 52 0 0 1 1 1
"201" 26 0 0 11 21000 40 52 0 0 1 1 7
"202" 38 0 0 16 99000 48 52 0 0 3 1 1
"203" 43 0 0 20 143469 40 52 0 0 3 1 1
"204" 33 0 0 12 33018 40 52 0 0 1 1 1
"205" 30 0 0 12 65000 40 50 0 0 3 1 1
"206" 32 0 1 16 130000 60 52 0 0 2 1 7
"207" 57 0 0 13 29000 40 52 0 0 1 1 1
"208" 24 0 1 11 9000 40 52 0 0 4 1 7
"209" 47 0 0 13 65000 40 52 0 0 4 1 1
"210" 41 0 0 16 1e+05 40 52 0 0 4 1 1
"211" 47 0 0 16 2000 40 52 0 0 3 1 1
"212" 35 0 0 13 58000 40 52 0 0 1 1 1
"213" 40 0 0 12 48000 40 52 0 0 4 1 1
"214" 70 0 1 18 110000 40 52 0 0 3 1 1
"215" 38 0 0 20 110000 60 52 0 0 1 1 1
"216" 23 0 0 13 18900 45 52 0 0 2 1 7
"217" 33 0 1 11 15000 40 52 0 0 2 1 1
"218" 54 0 0 16 56000 40 52 0 0 3 1 1
"219" 41 0 0 18 389599 40 52 0 0 1 1 1
"220" 44 0 0 12 40000 45 52 0 0 2 1 1
"221" 66 0 0 11 30000 40 50 0 0 3 1 1
"222" 49 0 0 12 35000 42 52 0 0 2 1 1
"223" 69 0 1 16 44197 40 52 0 0 3 1 1
"224" 29 0 0 12 33000 40 48 0 0 4 1 1
"225" 40 0 1 12 20000 40 52 0 0 4 1 7
"226" 35 0 0 12 30000 40 52 0 0 2 1 1
"227" 31 0 0 12 37000 40 52 0 0 1 1 7
"228" 26 0 0 13 41000 55 52 0 0 3 1 7
"229" 46 0 1 13 55000 40 52 0 0 2 1 6
"230" 28 0 0 14 40000 45 52 0 0 2 1 1
"231" 36 0 1 12 20000 40 52 0 0 4 1 5
"232" 56 0 0 16 70000 45 52 0 0 3 1 1
"233" 50 0 0 13 26000 37 52 1 0 1 1 1
"234" 30 0 0 13 23000 40 52 0 0 2 1 7
"235" 33 0 0 13 42000 40 52 0 0 3 1 1
"236" 23 0 0 13 38000 40 52 0 0 4 1 1
"237" 29 0 1 13 17000 40 52 0 0 3 1 7
"238" 24 0 0 13 35152 40 52 0 0 2 1 1
"239" 45 0 0 16 84000 40 52 0 0 1 1 1
"240" 46 0 0 12 40000 40 52 0 0 2 1 1
"241" 51 0 0 12 65000 44 52 0 0 1 1 1
"242" 61 0 0 16 160000 60 52 0 0 2 1 1
"243" 50 0 0 13 58002 40 52 0 0 3 1 1
"244" 49 0 1 4 27000 40 52 0 0 4 1 5
"245" 46 0 0 18 1e+05 45 52 0 0 4 1 1
"246" 39 0 1 12 26500 45 52 0 0 3 1 1
"247" 54 0 1 8 20000 36 52 0 0 2 1 1
"248" 39 0 0 13 30000 50 52 0 0 3 1 1
"249" 34 0 1 12 46800 60 52 0 0 2 1 1
"250" 43 0 1 9 29000 40 52 0 0 2 1 3
"251" 48 0 0 18 80000 50 50 0 0 2 1 1
"252" 43 0 0 9 15000 40 52 0 0 1 1 1
"253" 56 0 0 12 24000 40 52 0 0 3 1 1
"254" 55 0 0 13 62000 40 52 0 0 4 1 6
"255" 53 0 0 12 65000 50 52 0 0 3 1 1
"256" 68 0 0 20 105000 40 52 0 0 1 1 1
"257" 32 0 0 12 44000 40 52 0 0 1 1 1
"258" 34 0 1 12 25000 40 52 0 0 3 1 7
"259" 52 0 0 12 40000 60 52 0 0 3 1 5
"260" 67 0 0 12 48000 40 52 0 0 4 1 1
"261" 34 0 1 13 46000 40 52 0 0 1 1 1
"262" 49 0 0 12 45000 40 52 0 0 3 1 1
"263" 43 0 0 13 35000 40 49 0 0 2 1 1
"264" 62 0 1 14 45000 40 52 0 0 3 1 5
"265" 54 0 0 20 190000 65 52 0 0 3 1 1
"266" 45 0 0 18 80000 45 52 0 0 1 1 1
"267" 34 0 0 14 50000 45 52 0 0 3 1 1
"268" 25 0 0 16 53000 44 52 0 0 3 1 7
"269" 29 0 1 13 20002 40 52 0 0 4 1 7
"270" 28 0 0 18 65000 45 52 0 0 2 1 1
"271" 52 0 0 12 51000 46 52 0 0 2 1 1
"272" 35 0 1 14 60000 50 52 0 0 4 1 1
"273" 28 0 0 14 50000 60 52 0 0 3 1 1
"274" 67 0 0 16 45000 40 52 0 0 2 1 3
"275" 59 0 0 14 60000 40 52 0 0 3 1 1
"276" 42 0 0 12 34000 40 52 0 0 2 1 1
"277" 51 0 0 20 150000 55 52 0 0 3 1 5
"278" 55 0 0 12 52000 52 52 0 0 3 1 1
"279" 43 0 0 16 69000 55 52 0 0 3 1 5
"280" 45 0 0 18 54000 40 52 0 0 4 1 1
"281" 44 0 0 12 26000 46 52 0 0 2 1 1
"282" 46 0 0 16 55000 40 52 0 0 4 1 5
"283" 53 0 1 12 1e+05 50 52 0 0 3 1 1
"284" 43 0 1 14 32000 40 52 0 0 3 1 1
"285" 26 0 1 12 20000 40 52 0 0 4 1 1
"286" 34 0 0 12 25000 40 52 0 0 3 1 1
"287" 41 0 0 13 28000 45 52 0 0 3 1 5
"288" 44 0 0 13 33000 42 52 0 0 4 1 1
"289" 20 0 0 11 13500 40 48 0 0 4 1 7
"290" 28 0 1 9 2900 40 52 0 0 4 1 1
"291" 24 0 0 12 22500 45 52 0 0 2 1 7
"292" 61 0 0 12 55000 50 52 0 0 1 1 1
"293" 42 0 0 13 84000 50 52 0 0 2 1 1
"294" 32 0 0 16 47000 50 52 0 0 1 1 1
"295" 31 0 0 18 62000 70 52 0 0 4 1 1
"296" 26 0 0 16 28000 40 52 0 0 2 1 1
"297" 55 0 0 16 140000 50 52 0 0 2 1 1
"298" 31 0 0 13 46200 66 52 0 0 2 1 5
"299" 42 0 0 13 38000 40 52 0 0 2 1 1
"300" 23 0 1 13 44000 45 52 0 0 2 1 7
"301" 40 0 0 16 31000 40 52 0 0 2 1 5
"302" 16 0 0 10 8000 40 52 0 0 2 1 7
"303" 31 0 0 14 80000 60 52 0 0 3 1 1
"304" 43 0 1 13 55000 40 52 0 0 4 1 1
"305" 37 0 0 14 93000 45 52 0 0 1 1 1
"306" 43 0 0 18 60000 40 52 0 0 3 1 1
"307" 50 0 0 10 17000 40 52 0 0 1 1 1
"308" 65 0 0 13 80000 40 52 0 0 1 1 1
"309" 35 0 0 12 70000 80 52 0 0 3 1 1
"310" 36 0 0 12 60000 40 52 0 0 1 1 1
"311" 30 0 1 12 14000 40 52 0 0 3 1 7
"312" 62 0 0 13 48000 40 52 0 0 1 1 5
"313" 46 0 0 12 35000 40 52 0 0 4 1 5
"314" 42 0 1 12 54000 40 52 0 0 4 1 1
"315" 42 0 0 12 101600 50 52 0 0 2 1 1
"316" 49 0 0 18 53600 48 52 0 0 3 1 1
"317" 56 0 0 20 150000 50 52 0 0 2 1 1
"318" 45 0 1 16 45000 40 52 0 0 3 1 7
"319" 45 0 0 14 49000 56 52 0 0 3 1 1
"320" 35 0 0 14 39247 50 52 0 0 1 1 1
"321" 35 0 0 16 48000 40 50 0 0 4 1 1
"322" 31 0 0 13 35000 40 52 0 0 3 1 1
"323" 43 0 0 14 59000 40 52 0 0 3 1 1
"324" 40 0 0 16 13000 40 52 0 0 2 1 1
"325" 63 0 1 6 18000 40 52 0 0 4 1 1
"326" 34 0 0 12 25000 40 50 0 0 1 1 1
"327" 39 0 0 16 60000 40 52 0 0 4 1 1
"328" 55 0 0 16 77000 50 52 0 0 2 1 1
"329" 47 0 0 13 40000 50 52 0 0 2 1 1
"330" 49 0 0 14 90000 40 52 0 0 2 1 1
"331" 62 0 0 16 65000 45 48 0 0 4 1 1
"332" 34 0 0 16 1e+05 45 52 0 0 1 1 1
"333" 45 0 0 14 80000 55 52 0 0 4 1 1
"334" 32 0 0 14 83000 50 52 0 0 4 1 7
"335" 39 0 0 14 65000 40 52 0 0 2 1 1
"336" 44 0 1 18 160000 40 52 0 0 4 1 1
"337" 53 0 0 20 150000 60 52 0 0 2 1 1
"338" 52 0 0 8 40000 45 52 0 0 3 1 1
"339" 22 0 1 13 15000 40 52 0 0 3 1 7
"340" 32 0 0 16 78000 40 52 0 0 1 1 1
"341" 34 0 0 20 110000 60 52 0 0 4 1 1
"342" 23 0 1 11 21000 40 52 0 0 4 1 7
"343" 30 0 0 13 39000 48 52 0 0 2 1 1
"344" 40 0 0 12 75000 50 52 0 0 2 1 1
"345" 42 0 0 13 161525 50 52 1 0 1 1 1
"346" 47 0 0 12 35000 50 52 0 0 3 1 1
"347" 45 0 0 12 32000 40 52 0 0 2 1 1
"348" 28 0 0 13 70000 40 52 1 0 1 1 6
"349" 56 0 0 14 45000 60 52 0 0 3 1 1
"350" 24 0 0 12 23000 40 52 0 0 2 1 1
"351" 39 0 1 13 45000 36 52 0 0 4 1 1
"352" 45 0 1 9 18000 40 52 0 0 4 1 1
"353" 26 0 0 18 35000 40 52 0 0 4 1 1
"354" 27 0 0 13 50000 40 52 0 0 3 1 7
"355" 23 0 0 13 28000 40 48 0 0 2 1 7
"356" 26 0 1 6 24000 40 52 0 0 2 1 1
"357" 41 0 0 12 35000 55 52 0 0 2 1 1
"358" 45 0 0 13 98000 48 52 0 0 1 1 4
"359" 36 0 0 13 45000 40 52 0 0 3 1 1
"360" 22 0 0 12 30000 60 52 0 0 3 1 1
"361" 43 0 0 13 40000 99 52 0 0 3 1 1
"362" 43 0 0 20 175000 65 52 0 0 3 1 1
"363" 42 0 0 20 160000 50 52 0 0 1 1 1
"364" 25 0 0 12 25000 40 52 0 0 2 1 7
"365" 27 0 0 13 30000 40 52 0 0 2 1 7
"366" 36 0 0 13 34000 40 52 0 0 3 1 1
"367" 42 0 0 13 53000 40 52 0 0 4 1 1
"368" 32 0 0 10 29000 84 52 1 0 3 1 7
"369" 50 0 0 13 32000 40 52 0 0 2 1 1
"370" 62 0 0 12 22900 40 52 0 0 4 1 5
"371" 53 0 0 13 90000 75 52 0 0 4 1 1
"372" 38 0 0 18 125000 50 52 0 0 2 1 1
"373" 37 0 0 12 55000 46 52 0 0 4 1 1
"374" 25 0 0 16 28000 40 52 0 0 1 1 7
"375" 61 0 0 12 40000 40 52 0 0 1 1 1
"376" 48 0 0 12 76266 48 52 0 0 4 1 1
"377" 46 0 1 12 25000 40 52 0 0 4 1 5
"378" 46 0 0 12 48000 50 52 0 0 4 1 1
"379" 50 0 0 18 150000 60 52 0 0 1 1 1
"380" 47 0 0 12 48000 48 52 0 0 4 1 1
"381" 61 0 0 10 43200 40 52 0 0 4 1 5
"382" 44 0 0 14 35000 40 52 0 0 1 1 7
"383" 58 0 0 13 145000 40 52 1 0 4 1 5
"384" 38 0 0 12 81000 40 52 0 0 1 1 1
"385" 39 0 0 12 31000 40 52 0 0 2 1 1
"386" 39 0 0 13 45800 40 52 0 0 4 1 1
"387" 39 0 0 18 126000 47 52 0 0 2 1 1
"388" 51 0 0 13 47100 40 52 0 0 2 1 1
"389" 47 0 0 18 149500 45 52 0 0 3 1 1
"390" 40 0 1 16 72000 60 52 0 0 4 1 1
"391" 49 0 0 16 140000 40 52 0 0 1 1 1
"392" 48 0 0 12 36400 40 52 0 0 4 1 1
"393" 48 0 0 14 36000 55 52 0 0 2 1 1
"394" 64 0 0 13 36400 60 52 0 0 2 1 1
"395" 33 0 1 12 35000 50 52 0 0 4 1 1
"396" 46 0 0 18 115000 40 52 0 0 1 1 1
"397" 47 0 0 13 48000 40 52 0 0 2 1 1
"398" 51 0 0 13 36000 40 52 0 0 1 1 1
"399" 32 0 0 14 177000 56 50 0 0 1 1 1
"400" 29 0 0 11 22000 50 52 0 0 1 1 7
"401" 30 0 0 14 36000 50 52 0 0 3 1 1
"402" 34 0 0 16 50000 40 50 0 0 3 1 1
"403" 37 0 0 18 67000 40 52 0 0 4 1 1
"404" 27 0 0 18 72000 40 52 0 0 2 1 1
"405" 22 0 0 12 24000 40 52 0 0 3 1 1
"406" 52 0 0 12 87000 80 52 1 0 1 1 1
"407" 54 0 0 16 54000 40 52 0 0 4 1 1
"408" 53 0 0 13 140000 50 52 0 0 4 1 1
"409" 41 0 0 16 2e+05 48 52 0 0 1 1 1
"410" 34 0 0 16 1e+05 50 52 0 0 2 1 1
"411" 48 0 0 16 59200 40 52 0 0 4 1 1
"412" 44 0 0 12 60000 60 52 1 0 2 1 1
"413" 40 0 0 20 272946 40 52 0 0 3 1 1
"414" 37 0 0 16 60000 40 52 0 0 2 1 7
"415" 31 0 1 13 54000 52 52 0 0 4 1 1
"416" 40 0 0 16 87000 40 52 0 0 2 1 1
"417" 40 0 0 14 30000 48 52 0 0 3 1 1
"418" 29 0 0 16 30000 40 52 0 0 1 1 7
"419" 23 0 0 16 38000 50 52 0 0 1 1 7
"420" 52 0 0 13 65000 45 52 0 0 2 1 1
"421" 54 0 0 14 60000 40 52 0 0 4 1 1
"422" 38 0 0 18 50000 40 52 0 0 1 1 1
"423" 23 0 0 13 15500 50 52 0 0 3 1 1
"424" 54 0 0 13 75000 40 52 0 0 1 1 1
"425" 48 0 0 12 82081 40 52 0 0 4 1 1
"426" 44 0 0 16 389599 40 52 0 0 2 1 1
"427" 57 0 0 16 125000 40 52 0 0 3 1 1
"428" 51 0 0 13 79000 40 52 0 0 3 1 1
"429" 60 0 0 18 150000 45 52 0 0 4 1 1
"430" 33 0 0 14 70000 40 52 0 0 4 1 1
"431" 39 0 0 16 50000 65 52 0 0 2 1 1
"432" 28 0 0 18 65000 45 52 0 0 2 1 1
"433" 35 0 1 16 25000 50 52 0 0 4 1 7
"434" 50 0 0 13 70000 40 52 0 0 3 1 1
"435" 51 0 0 16 80000 50 52 0 0 3 1 1
"436" 51 0 0 12 60000 45 52 0 0 2 1 1
"437" 54 0 0 12 25000 40 51 0 0 2 1 1
"438" 55 0 0 12 40000 40 52 0 0 3 1 1
"439" 42 0 0 14 52150 40 52 0 0 1 1 7
"440" 24 0 0 12 25000 40 52 0 0 4 1 7
"441" 50 0 0 12 4500 40 52 0 0 3 1 1
"442" 61 0 0 13 72000 40 52 0 0 3 1 1
"443" 57 0 0 16 81595 36 52 0 0 1 1 1
"444" 27 0 0 13 23677 40 52 0 0 2 1 7
"445" 63 0 0 12 60000 60 52 0 0 3 1 1
"446" 45 0 0 9 35000 40 52 0 0 1 1 1
"447" 39 0 0 12 85000 40 52 0 0 1 1 1
"448" 56 0 0 12 62000 40 52 0 0 1 1 5
"449" 30 0 0 12 25000 40 52 0 0 2 1 7
"450" 26 0 0 14 65000 55 52 0 0 3 1 7
"451" 29 0 0 13 28000 40 52 0 0 2 1 7
"452" 60 0 0 13 70000 48 52 0 0 4 1 1
"453" 36 0 1 12 22000 40 52 0 0 4 1 1
"454" 40 0 0 12 36000 40 52 0 0 2 1 5
"455" 26 0 0 13 64000 60 52 0 0 3 1 7
"456" 39 0 1 9 30000 40 52 0 0 3 1 7
"457" 19 0 0 13 25000 40 52 0 0 1 1 7
"458" 52 0 0 14 72000 38 52 0 0 1 1 1
"459" 45 0 1 12 45000 40 52 0 0 4 1 1
"460" 39 0 0 16 70000 40 52 0 0 2 1 1
"461" 26 0 1 13 20000 40 52 0 0 3 1 6
"462" 31 0 0 11 26700 45 52 0 0 4 1 1
"463" 30 0 0 13 38500 40 52 0 0 2 1 1
"464" 49 0 0 16 12800 50 52 0 0 4 1 1
"465" 41 0 1 12 70000 40 52 0 0 3 1 1
"466" 27 0 0 13 26500 40 52 0 0 4 1 6
"467" 26 0 0 12 37500 40 52 0 0 2 1 7
"468" 45 0 0 16 80000 45 52 0 0 3 1 1
"469" 45 0 0 14 44000 40 52 0 0 2 1 1
"470" 48 0 0 20 130000 50 52 0 0 3 1 1
"471" 40 0 0 16 50000 50 52 0 0 4 1 6
"472" 47 0 0 16 65000 40 52 0 0 3 1 1
"473" 49 0 0 12 60000 55 52 0 0 1 1 1
"474" 49 0 0 12 20000 40 52 0 0 2 1 1
"475" 51 0 0 12 25000 80 52 0 0 3 1 1
"476" 27 0 0 16 80000 60 52 0 0 1 1 1
"477" 50 0 0 13 80000 40 52 1 0 1 1 1
"478" 69 0 0 12 24000 40 52 0 0 1 1 1
