"father" "mother" "midparentHeight" "gender" "childHeight"
"86" 71 63.5 69.79 "male" 71
"87" 71 63 69.52 "female" 63
"88" 71 63 69.52 "male" 71
"89" 71 63 69.52 "female" 63.5
"90" 71 63 69.52 "male" 71
"91" 71 62 68.98 "female" 64.5
"92" 71 62 68.98 "male" 71
"93" 71 62 68.98 "female" 60
"94" 71 62 68.98 "male" 70.5
"95" 71 62.5 69.25 "female" 62.5
"96" 71 62.5 69.25 "male" 70
"97" 71 62 68.98 "female" 64.5
"98" 71 62 68.98 "male" 69
"99" 71 61 68.44 "female" 62
"100" 71 58 66.82 "male" 69
"101" 70 69 72.26 "female" 69
"102" 70 69 72.26 "male" 70
"103" 70 69 72.26 "female" 66
"104" 70 69 72.26 "male" 68.7
"105" 70 68 71.72 "male" 75
"106" 70 67 71.18 "female" 66
"107" 70 67 71.18 "male" 70
"108" 70 67 71.18 "female" 67.5
"109" 70 66.5 70.91 "female" 63.7
"110" 70 66.5 70.91 "male" 72
"111" 70.5 65 70.35 "male" 68.5
"112" 70.5 65 70.35 "female" 61
"113" 70 65 70.1 "female" 63
"114" 70 65 70.1 "male" 70.5
"115" 70 65 70.1 "female" 64.5
"116" 70 65 70.1 "male" 67
"117" 70 65 70.1 "female" 65
"118" 70 65 70.1 "male" 70
"119" 70 65 70.1 "female" 67
"120" 70 65 70.1 "male" 75
"121" 70 65 70.1 "female" 65
"122" 70 65 70.1 "male" 73
"123" 70 65 70.1 "male" 69
"124" 70 64.7 69.938 "female" 66.5
"125" 70 64.7 69.938 "male" 68.7
"126" 70 64 69.56 "female" 67
"127" 70 64 69.56 "male" 67
"128" 70 64 69.56 "female" 65.5
"129" 70 64 69.56 "male" 70
"130" 70 64.2 69.668 "female" 61.2
"131" 70 64.2 69.668 "male" 70
"132" 70.5 64 69.81 "female" 65.5
"133" 70.5 64 69.81 "male" 74
"134" 70.5 64.5 70.08 "female" 60
"135" 70 64 69.56 "female" 62
"136" 70 64 69.56 "male" 68
"137" 70 64 69.56 "female" 65
"138" 70 64 69.56 "male" 70
"139" 70 63.7 69.398 "female" 61
"140" 70 63.7 69.398 "male" 67
"141" 70.5 63 69.27 "female" 63.5
"142" 70.5 63 69.27 "male" 68.5
"143" 70.5 63 69.27 "female" 64.5
"144" 70.5 63 69.27 "male" 72.5
"145" 70 63.5 69.29 "female" 63.5
"146" 70 63.5 69.29 "male" 71
"147" 70 63 69.02 "female" 63.7
"148" 70 63 69.02 "male" 67
"149" 70 63 69.02 "female" 62
"150" 70 63 69.02 "male" 66.5
"151" 70.5 62 68.73 "female" 64
"152" 70.5 62 68.73 "male" 69.5
"153" 70.3 62.7 69.008 "female" 64
"154" 70.3 62.7 69.008 "male" 69.7
"155" 70.5 62 68.73 "female" 60
"156" 70.5 62 68.73 "male" 72
"157" 70 61 67.94 "male" 67
"158" 70 60 67.4 "female" 65
"159" 70 60 67.4 "male" 67
"160" 70 60 67.4 "female" 65
"161" 70 58.5 66.59 "female" 63
"162" 70 58.5 66.59 "male" 64.5
"163" 70 58 66.32 "female" 65
"164" 70 58 66.32 "male" 66
"165" 69 68.5 71.49 "female" 64
"166" 69 68.5 71.49 "male" 71
"167" 69 67 70.68 "female" 64
"168" 69 66 70.14 "female" 65
"169" 69 66 70.14 "male" 71.7
"170" 69 66 70.14 "male" 71
"171" 69 66.7 70.518 "male" 72
"172" 69 66 70.14 "female" 62.5
"173" 69 66 70.14 "male" 68
"174" 69 66.5 70.41 "female" 61
"175" 69 66.5 70.41 "male" 70.5
"176" 69.5 66.5 70.66 "female" 64
"177" 69.5 66.5 70.66 "male" 67.5
"178" 69 66.5 70.41 "female" 63
"179" 69 66.5 70.41 "male" 71
"180" 69.5 66 70.39 "female" 64.5
"181" 69.5 66 70.39 "male" 71
"182" 69 66 70.14 "female" 66.5
"183" 69 66 70.14 "male" 69
"184" 69 65 69.6 "female" 63.5
"185" 69 65 69.6 "male" 67
"186" 69.5 64.5 69.58 "female" 65.2
"187" 69.5 64.5 69.58 "male" 60
"188" 69.2 64 69.16 "female" 63.5
"189" 69.2 64 69.16 "male" 66.5
"190" 69 63.5 68.79 "female" 65.5
"191" 69 63 68.52 "female" 63.5
"192" 69 63 68.52 "male" 69
"193" 69 63 68.52 "male" 72
"194" 69 63 68.52 "female" 62
"195" 69 63 68.52 "male" 70
"196" 69 63.5 68.79 "female" 62
"197" 69 63.5 68.79 "male" 70.5
"198" 69 63.5 68.79 "female" 63
"199" 69 63.5 68.79 "male" 70.5
"200" 69.7 62 68.33 "female" 62.5
"201" 69.5 62 68.23 "male" 73
"202" 69 62 67.98 "female" 63
"203" 69 62 67.98 "male" 71
"204" 69.5 62 68.23 "female" 64.5
"205" 69.5 62 68.23 "male" 72
"206" 69 62.5 68.25 "female" 62.5
"207" 69 62.5 68.25 "male" 70
"208" 69 62 67.98 "female" 66
"209" 69 62 67.98 "male" 72
"210" 69.5 61 67.69 "female" 62
"211" 69.5 61 67.69 "male" 69
"212" 69 61 67.44 "female" 63.5
"213" 69 61 67.44 "male" 63
"214" 69 60 66.9 "female" 62.5
"215" 69 60 66.9 "male" 70.5
"216" 69 60 66.9 "female" 61.7
"217" 69 60 66.9 "male" 66
"218" 69 60.5 67.17 "male" 69.5
"219" 68.7 70.5 72.42 "female" 61.7
"220" 68.7 70.5 72.42 "male" 71
"221" 68.5 67 70.43 "female" 67
"222" 68.5 67 70.43 "male" 73
"223" 68.5 66.5 70.16 "female" 63.2
"224" 68.5 66.5 70.16 "male" 68.5
"225" 68 65 69.1 "male" 66
"226" 68 65.5 69.37 "female" 64
"227" 68 65.5 69.37 "male" 66
"228" 68 65.5 69.37 "female" 66.5
"229" 68 65.5 69.37 "male" 71.5
"230" 68 65 69.1 "female" 66
"231" 68 65 69.1 "male" 72
"232" 68.5 65 69.35 "female" 62
"233" 68.5 65 69.35 "male" 68
"234" 68 64 68.56 "female" 63
"235" 68 64 68.56 "male" 68
"236" 68.5 65 69.35 "female" 63
"237" 68.5 65 69.35 "male" 68.5
"238" 68 64 68.56 "female" 62
"239" 68 64 68.56 "male" 66
"240" 68 64 68.56 "female" 62.5
"241" 68 64 68.56 "male" 71.2
"242" 68 64.5 68.83 "female" 62
"243" 68 64 68.56 "female" 63
"244" 68 64 68.56 "male" 69
"245" 68 63 68.02 "female" 62
"246" 68 63 68.02 "male" 70
"247" 68.5 63.5 68.54 "female" 65.5
"248" 68.5 63.5 68.54 "male" 73.5
"249" 68 63 68.02 "male" 67
"250" 68 63 68.02 "female" 64
"251" 68 63 68.02 "male" 68
"252" 68 63 68.02 "female" 62
"253" 68 63 68.02 "male" 66
"254" 68 63 68.02 "female" 63.5
"255" 68 63 68.02 "male" 67
"256" 68.5 63.5 68.54 "male" 68.2
"257" 68 63 68.02 "male" 70
"258" 68.2 63.5 68.39 "female" 64.5
"259" 68.2 63.5 68.39 "male" 69
"260" 68 62.5 67.75 "male" 68.5
"261" 68.7 62 67.83 "female" 61.7
"262" 68.7 62 67.83 "male" 67.7
"263" 68 62.5 67.75 "male" 66.5
"264" 68 61 66.94 "female" 63
"265" 68 61 66.94 "male" 64
"266" 68 60.2 66.508 "male" 66.7
"267" 68 60 66.4 "female" 61
"268" 68 60 66.4 "male" 64
"269" 68 60 66.4 "female" 60
"270" 68 60 66.4 "male" 67.5
"271" 68.5 59 66.11 "male" 69
"272" 68 59 65.86 "female" 65
"273" 68 59 65.86 "male" 64.7
"274" 67 66.2 69.248 "female" 65.5
"275" 67 66.2 69.248 "male" 72.7
"276" 67 66.5 69.41 "male" 71
"277" 67 66 69.14 "female" 68
"278" 67 66 69.14 "male" 73
"279" 67 65 68.6 "female" 65
"280" 67 65 68.6 "male" 67.5
"281" 67 65.5 68.87 "female" 65.5
"282" 67 65.5 68.87 "male" 69
"283" 67 65.5 68.87 "female" 60
"284" 67 65.5 68.87 "male" 70
"285" 67 65 68.6 "female" 62
"286" 67 65 68.6 "male" 65
"287" 67.5 65 68.85 "female" 63
"288" 67.5 65 68.85 "male" 71
"289" 67 64 68.06 "male" 71.5
"290" 67 63.5 67.79 "female" 63.5
"291" 67 63.5 67.79 "male" 70.2
"292" 67 63 67.52 "female" 63
"293" 67 63 67.52 "male" 68
"294" 67.5 62 67.23 "female" 66
"295" 67.5 62 67.23 "male" 69
"296" 67 61 66.44 "male" 67
"297" 66 67 69.18 "female" 62
"298" 66 67 69.18 "male" 70.5
"299" 66 67 69.18 "female" 67
"300" 66 67 69.18 "male" 65
"301" 66 66 68.64 "female" 65.5
"302" 66 66 68.64 "male" 66
"303" 66 66 68.64 "female" 65
"304" 66 66 68.64 "male" 72
"305" 66.5 65 68.35 "female" 60.5
"306" 66.5 65 68.35 "male" 64.5
"307" 66 65.5 68.37 "female" 66
"308" 66 65.5 68.37 "male" 67
"309" 66 63 67.02 "male" 70
"310" 66 63.5 67.29 "female" 64.5
"311" 66.5 63 67.27 "female" 65
"312" 66.5 63 67.27 "male" 67.2
"313" 66.5 62.5 67 "female" 62.5
"314" 66.5 62.5 67 "male" 68
"315" 66 61.5 66.21 "male" 70
"316" 66 60 65.4 "female" 60
"317" 66 60 65.4 "male" 68
"318" 66 60 65.4 "male" 65
"319" 66 59 64.86 "female" 57
"320" 66 59 64.86 "male" 65.7
"321" 65 67 68.68 "female" 65
"322" 65 67 68.68 "male" 66.5
"323" 65 67 68.68 "female" 63
"324" 65 66 68.14 "female" 60
"325" 65 66 68.14 "male" 63
"326" 65 66 68.14 "female" 61
"327" 65 66 68.14 "male" 65
"328" 65 65 67.6 "female" 61
"329" 65 65 67.6 "male" 69
"330" 65 65.5 67.87 "female" 65.5
"331" 65 65.5 67.87 "male" 70.7
"332" 65 65 67.6 "female" 64.5
"333" 65 65 67.6 "male" 69
"334" 65 64 67.06 "female" 60.5
"335" 65 64 67.06 "male" 67
"336" 65 63 66.52 "female" 63
"337" 65 63 66.52 "male" 70
"338" 65 63 66.52 "female" 63
"339" 65 63 66.52 "male" 66
"340" 65.5 63 66.77 "female" 63.5
"341" 65.5 63 66.77 "male" 69
"342" 65.5 60 65.15 "female" 62
"343" 65.5 60 65.15 "male" 67
"344" 64 64 66.56 "female" 64
"345" 64 64 66.56 "male" 68
"346" 64 64 66.56 "female" 65
"347" 64 64 66.56 "male" 70.5
"348" 64 63 66.02 "male" 64.5
"349" 64 60 64.4 "female" 60
"350" 64 60 64.4 "male" 66
"351" 63 63.5 65.79 "female" 68.5
"352" 62 66 66.64 "female" 62
"353" 62 66 66.64 "male" 64
"354" 62.5 63 65.27 "female" 57
"355" 62.5 63 65.27 "male" 66.5
